country,code,electricity_consumption,country_flag,series_id
Lebanon,LE,17.708,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LE-flag.gif,INTL.2-2-LBN-BKWH.A
Dominican Republic,DR,16.067,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/DR-flag.gif,INTL.2-2-DOM-BKWH.A
Tunisia,TS,15.838,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TS-flag.gif,INTL.2-2-TUN-BKWH.A
Turkmenistan,TX,15.09,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TX-flag.gif,INTL.2-2-TKM-BKWH.A
Burma,BM,18.024,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BM-flag.gif,INTL.2-2-MMR-BKWH.A
Syria,SY,14.263,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SY-flag.gif,INTL.2-2-SYR-BKWH.A
North Korea,KN,12.708,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KN-flag.gif,INTL.2-2-PRK-BKWH.A
Slovenia,SI,14.023,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SI-flag.gif,INTL.2-2-SVN-BKWH.A
Tajikistan,TI,16.085,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TI-flag.gif,INTL.2-2-TJK-BKWH.A
Sri Lanka,CE,13.438,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CE-flag.gif,INTL.2-2-LKA-BKWH.A
Georgia,GG,12.179,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GG-flag.gif,INTL.2-2-GEO-BKWH.A
Sudan,SU,11.463,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SU-flag.gif,INTL.2-2-SDN-BKWH.A
Bosnia and Herzegovina,BK,12.253,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BK-flag.gif,INTL.2-2-BIH-BKWH.A
Mozambique,MZ,13.39,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MZ-flag.gif,INTL.2-2-MOZ-BKWH.A
Zambia,ZA,13.097,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ZA-flag.gif,INTL.2-2-ZMB-BKWH.A
Paraguay,PA,13.097,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PA-flag.gif,INTL.2-2-PRY-BKWH.A
Uruguay,UY,11.812,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UY-flag.gif,INTL.2-2-URY-BKWH.A
Kyrgyzstan,KG,11.74,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KG-flag.gif,INTL.2-2-KGZ-BKWH.A
Lithuania,LH,11.306,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LH-flag.gif,INTL.2-2-LTU-BKWH.A
Guatemala,GT,10.57,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GT-flag.gif,INTL.2-2-GTM-BKWH.A
Trinidad and Tobago,TD,8.246,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TD-flag.gif,INTL.2-2-TTO-BKWH.A
Costa Rica,CS,10.065,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CS-flag.gif,INTL.2-2-CRI-BKWH.A
Ghana,GH,8.842,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GH-flag.gif,INTL.2-2-GHA-BKWH.A
Ethiopia,ET,8.986,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ET-flag.gif,INTL.2-2-ETH-BKWH.A
Angola,AO,10.364,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AO-flag.gif,INTL.2-2-AGO-BKWH.A
Estonia,EN,8.858,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EN-flag.gif,INTL.2-2-EST-BKWH.A
Panama,PM,9.258,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PM-flag.gif,INTL.2-2-PAN-BKWH.A
Kenya,KE,8.722,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KE-flag.gif,INTL.2-2-KEN-BKWH.A
Bolivia,BL,9.057,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BL-flag.gif,INTL.2-2-BOL-BKWH.A
Democratic Republic of the Congo,CG,8.594,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CG-flag.gif,INTL.2-2-COD-BKWH.A
Honduras,HO,6.696,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/HO-flag.gif,INTL.2-2-HND-BKWH.A
Zimbabwe,ZI,7.401,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ZI-flag.gif,INTL.2-2-ZWE-BKWH.A
Latvia,LG,6.877,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LG-flag.gif,INTL.2-2-LVA-BKWH.A
West Bank,WE,5.496,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/WE-flag.gif,""
Luxembourg,LU,5.817,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LU-flag.gif,INTL.2-2-LUX-BKWH.A
Macedonia,MK,7.024,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MK-flag.gif,INTL.2-2-MKD-BKWH.A
Cameroon,CM,6.743,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CM-flag.gif,INTL.2-2-CMR-BKWH.A
Cote D'Ivoire,IV,6.686,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IV-flag.gif,INTL.2-2-CIV-BKWH.A
Mongolia,MG,6.933,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MG-flag.gif,INTL.2-2-MNG-BKWH.A
El Salvador,ES,6.212,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ES-flag.gif,INTL.2-2-SLV-BKWH.A
Cambodia,CB,8.402,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CB-flag.gif,INTL.2-2-KHM-BKWH.A
Tanzania,TZ,5.813,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TZ-flag.gif,INTL.2-2-TZA-BKWH.A
Afghanistan,AF,6.023,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AF-flag.gif,INTL.2-2-AFG-BKWH.A
Laos,LA,4.059,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LA-flag.gif,INTL.2-2-LAO-BKWH.A
Armenia,AM,5.791,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AM-flag.gif,INTL.2-2-ARM-BKWH.A
Albania,AL,4.849,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AL-flag.gif,INTL.2-2-ALB-BKWH.A
Macau,MC,5.378,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MC-flag.gif,INTL.2-2-MAC-BKWH.A
Nepal,NP,6.562,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NP-flag.gif,INTL.2-2-NPL-BKWH.A
Moldova,MD,5.957,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MD-flag.gif,INTL.2-2-MDA-BKWH.A
Cyprus,CY,4.524,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CY-flag.gif,INTL.2-2-CYP-BKWH.A
Kosovo,KV,5.715,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KV-flag.gif,INTL.2-2-XKS-BKWH.A
Namibia,WA,4.184,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/WA-flag.gif,INTL.2-2-NAM-BKWH.A
Brunei,BX,3.555,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BX-flag.gif,INTL.2-2-BRN-BKWH.A
Yemen,YM,2.653,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/YM-flag.gif,INTL.2-2-YEM-BKWH.A
Botswana,BC,3.301,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BC-flag.gif,INTL.2-2-BWA-BKWH.A
Nicaragua,NU,3.738,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NU-flag.gif,INTL.2-2-NIC-BKWH.A
Senegal,SG,3.842,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SG-flag.gif,INTL.2-2-SEN-BKWH.A
Papua New Guinea,PP,3.777,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PP-flag.gif,INTL.2-2-PNG-BKWH.A
Uganda,UG,3.534,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UG-flag.gif,INTL.2-2-UGA-BKWH.A
Mali,ML,3.04,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ML-flag.gif,INTL.2-2-MLI-BKWH.A
Jamaica,JM,3.025,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/JM-flag.gif,INTL.2-2-JAM-BKWH.A
Montenegro,MJ,2.998,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MJ-flag.gif,INTL.2-2-MNE-BKWH.A
